model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
Neural Network,0.9801699716713881,0.9828555858384769,0.990704352814018,0.9872286079182631,0.9855526478694596,0.99376031412327,0.985969387755102,0.9908392626801671,0.9944476357327353,0.9865985960433951,0.988520098567234,0.9937640169570963
SVM,0.9858356940509915,0.9817300444417331,0.9865397419120135,0.98856416772554,0.9753507752964681,0.9821994726380892,0.9923469387755102,0.9754568445950819,0.983832852828434,0.9904519414385742,0.9759801995524187,0.9823486089269904
Decision Tree,0.9782813975448537,0.9734166002330635,0.9827762877364052,0.9810366624525917,0.9616492404177045,0.9773825957982666,0.9897959183673469,0.9691343343639642,0.9776604348620237,0.9853968253968254,0.9653946494536011,0.9773801108248873
